No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
-1,-1,571,69,316,616,-1,482,-1,-1,-1,-1,-1,226
-1,334,282,-1,-1,-1,267,-1,-1,236,226,-1,99,-1
-1,-1,165,86,-1,-1,-1,-1,219,262,286,-1,-1,-1
-1,-1,416,-1,-1,-1,-1,-1,378,442,334,-1,-1,-1
-1,-1,165,86,-1,-1,-1,-1,219,262,286,-1,-1,-1
-1,-1,-1,-1,302,572,-1,607,-1,-1,395,-1,-1,214
-1,363,229,-1,-1,143,-1,130,-1,325,313,-1,-1,-1
-1,-1,165,86,-1,-1,-1,-1,219,262,286,-1,-1,-1
-1,390,-1,477,-1,-1,-1,-1,-1,204,172,-1,-1,113
-1,211,154,-1,242,-1,-1,-1,517,395,383,-1,-1,-1
-1,-1,-1,-1,383,606,-1,-1,-1,325,-1,-1,-1,-1
-1,317,246,-1,-1,137,-1,-1,-1,415,403,-1,-1,495
-1,-1,1126,-1,262,978,-1,-1,965,-1,928,-1,-1,39
-1,312,-1,-1,382,-1,-1,-1,551,-1,529,-1,-1,116
-1,473,425,-1,-1,-1,-1,-1,-1,571,559,-1,742,789
-1,390,-1,477,-1,-1,-1,-1,-1,204,172,-1,-1,113
-1,-1,471,-1,304,517,-1,388,-1,-1,493,-1,-1,-1
-1,-1,-1,-1,-1,450,404,-1,-1,-1,427,-1,-1,136
-1,390,-1,-1,203,-1,323,215,-1,358,346,-1,-1,-1
-1,-1,362,-1,243,-1,-1,-1,-1,-1,400,-1,-1,-1
-1,-1,95,-1,141,-1,-1,194,223,-1,280,-1,-1,-1
-1,-1,274,-1,-1,423,-1,458,-1,481,-1,-1,-1,351
0,286,237,-1,-1,345,-1,321,-1,-1,307,-1,-1,-1
-1,468,323,-1,546,699,-1,1071,601,751,739,-1,-1,243
0,208,-1,-1,-1,-1,156,-1,-1,184,171,-1,-1,-1
-1,-1,389,-1,234,-1,-1,-1,298,-1,-1,-1,-1,591
-1,360,-1,-1,223,-1,-1,245,268,336,299,-1,-1,-1
-1,170,156,-1,-1,209,-1,-1,-1,284,262,-1,-1,298
-1,345,510,-1,288,-1,-1,-1,-1,-1,456,-1,-1,190
-1,-1,-1,-1,-1,-1,-1,-1,544,-1,-1,-1,-1,150
-1,92,-1,-1,-1,142,351,-1,336,-1,192,-1,-1,-1
-1,390,-1,-1,203,-1,323,215,-1,358,346,-1,-1,-1
-1,-1,464,-1,262,177,162,342,442,493,-1,-1,-1,-1
-1,312,-1,-1,382,-1,-1,-1,551,-1,529,-1,-1,116
-1,-1,-1,-1,211,-1,-1,-1,-1,53,-1,-1,-1,91
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178
-1,-1,413,-1,-1,444,-1,-1,-1,247,-1,-1,-1,78
0,-1,354,-1,-1,-1,-1,-1,-1,428,-1,-1,-1,101
-1,-1,-1,-1,244,-1,-1,347,-1,-1,-1,-1,-1,-1
-1,548,710,-1,486,-1,-1,-1,-1,696,-1,-1,-1,421
-1,383,-1,-1,-1,-1,193,107,-1,363,342,-1,-1,-1
-1,394,160,-1,219,587,-1,312,-1,267,255,-1,-1,-1
-1,316,-1,-1,-1,-1,381,440,-1,-1,-1,-1,-1,269
-1,261,-1,-1,297,-1,449,484,-1,-1,-1,-1,-1,111
-1,-1,-1,-1,-1,-1,284,-1,-1,241,301,-1,-1,229
-1,-1,-1,-1,-1,-1,-1,-1,520,-1,-1,-1,-1,255
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,209
-1,337,-1,-1,-1,-1,-1,102,-1,394,410,-1,-1,-1
-1,316,-1,-1,-1,-1,381,440,-1,-1,-1,-1,-1,269
-1,252,238,88,501,-1,293,-1,-1,-1,140,-1,-1,390
-1,-1,165,86,-1,-1,-1,-1,219,262,286,-1,-1,-1
-1,465,397,-1,205,-1,348,-1,-1,383,371,-1,-1,-1
-1,261,-1,-1,-1,465,416,-1,358,498,522,-1,-1,-1
-1,462,-1,-1,441,543,-1,96,278,418,408,-1,-1,-1
-1,296,-1,-1,-1,-1,200,-1,273,228,215,-1,-1,251
-1,-1,389,-1,234,-1,-1,-1,298,-1,-1,-1,-1,591
-1,-1,234,-1,-1,411,-1,-1,345,201,294,-1,-1,155
-1,-1,234,-1,-1,411,-1,-1,345,201,294,-1,-1,155
-1,286,272,-1,-1,489,-1,-1,-1,363,351,-1,-1,88
-1,-1,165,86,-1,-1,-1,-1,219,262,286,-1,-1,-1
-1,-1,-1,-1,381,-1,-1,-1,-1,347,-1,-1,-1,-1
-1,390,-1,-1,203,-1,323,215,-1,358,346,-1,-1,-1
-1,-1,165,86,-1,-1,-1,-1,219,262,286,-1,-1,-1
-1,296,-1,-1,-1,-1,200,-1,273,228,215,-1,-1,251
-1,390,-1,-1,203,-1,323,215,-1,358,346,-1,-1,-1
-1,-1,-1,-1,-1,-1,284,-1,-1,241,301,-1,-1,229
-1,390,-1,-1,203,-1,323,215,-1,358,346,-1,-1,-1
-1,485,437,-1,-1,525,364,113,-1,419,407,-1,-1,-1
-1,308,274,-1,-1,-1,327,-1,-1,66,350,-1,-1,174
-1,-1,326,-1,-1,-1,-1,-1,-1,-1,394,-1,-1,242
-1,-1,188,-1,376,-1,241,120,-1,480,-1,-1,-1,-1
-1,-1,-1,-1,-1,456,413,-1,-1,-1,325,-1,-1,181
-1,312,-1,-1,382,-1,-1,-1,551,-1,529,-1,-1,116
-1,-1,-1,-1,-1,450,404,-1,-1,-1,427,-1,-1,136
-1,-1,-1,-1,383,606,-1,-1,-1,325,-1,-1,-1,-1
-1,332,-1,-1,565,497,-1,-1,-1,-1,-1,-1,-1,82
-1,-1,533,-1,387,526,460,-1,411,493,483,-1,-1,194
-1,-1,235,-1,-1,127,-1,-1,307,283,-1,-1,-1,356
-1,-1,-1,-1,-1,-1,-1,-1,-1,267,-1,-1,-1,256
-1,-1,373,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,108
-1,390,-1,-1,203,-1,323,215,-1,358,346,-1,-1,-1
-1,312,-1,-1,382,-1,-1,-1,551,-1,529,-1,-1,116
-1,-1,165,86,-1,-1,-1,-1,219,262,286,-1,-1,-1
-1,-1,-1,-1,-1,484,-1,-1,397,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,223,275,299,-1,-1,325
-1,-1,307,-1,-1,442,-1,477,282,-1,-1,-1,-1,-1
0,198,-1,-1,-1,-1,150,-1,-1,178,165,-1,346,-1
-1,265,-1,-1,370,328,-1,-1,-1,658,601,-1,-1,130
-1,-1,288,-1,315,68,-1,-1,-1,-1,393,-1,-1,184
-1,316,-1,-1,-1,-1,381,440,-1,-1,-1,-1,-1,269
-1,-1,-1,-1,-1,484,-1,-1,397,-1,-1,-1,-1,-1
-1,356,204,-1,-1,-1,-1,-1,-1,470,458,-1,-1,181
-1,920,855,-1,408,451,652,707,-1,837,825,-1,-1,299
-1,369,-1,-1,521,408,-1,-1,541,577,471,-1,-1,208
-1,-1,-1,-1,318,198,-1,171,-1,-1,604,510,-1,-1
-1,394,160,-1,219,587,-1,312,-1,267,255,-1,-1,-1
-1,-1,388,-1,497,411,-1,284,-1,-1,601,-1,-1,-1
-1,-1,-1,-1,200,-1,-1,-1,-1,178,-1,-1,-1,-1
-1,-1,165,86,-1,-1,-1,-1,219,262,286,-1,-1,-1
-1,364,273,-1,-1,89,-1,-1,-1,-1,-1,-1,-1,229
0,198,-1,-1,-1,-1,150,-1,-1,178,165,-1,346,-1
-1,-1,-1,82,-1,-1,-1,-1,288,-1,313,-1,-1,336
-1,316,-1,-1,-1,-1,381,440,-1,-1,-1,-1,-1,269
-1,383,-1,-1,-1,-1,193,107,-1,363,342,-1,-1,-1
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,180,-1,415,-1,396,-1,362,-1,-1,-1
-1,-1,234,-1,-1,411,-1,-1,345,201,294,-1,-1,155
-1,-1,314,-1,167,-1,-1,223,-1,525,464,-1,-1,491
-1,-1,911,-1,-1,-1,-1,-1,790,58,-1,-1,-1,-1
-1,296,-1,-1,-1,-1,200,-1,273,228,215,-1,-1,251
-1,383,-1,-1,-1,-1,193,107,-1,363,342,-1,-1,-1
-1,-1,272,-1,338,-1,-1,-1,366,-1,89,-1,-1,439
-1,-1,165,86,-1,-1,-1,-1,219,262,286,-1,-1,-1
-1,265,-1,-1,370,328,-1,-1,-1,658,601,-1,-1,130
-1,394,160,-1,219,587,-1,312,-1,267,255,-1,-1,-1
-1,-1,712,82,598,-1,453,311,-1,489,477,-1,-1,-1
-1,-1,-1,-1,-1,484,-1,-1,397,-1,-1,-1,-1,-1
-1,276,-1,183,-1,-1,-1,-1,-1,-1,-1,-1,-1,344
-1,-1,165,86,-1,-1,-1,-1,219,262,286,-1,-1,-1
-1,-1,326,-1,-1,-1,-1,-1,-1,-1,394,-1,-1,242
-1,390,-1,-1,203,-1,323,215,-1,358,346,-1,-1,-1
-1,-1,411,283,-1,-1,-1,-1,-1,138,260,-1,-1,-1
-1,-1,-1,123,-1,339,-1,-1,-1,208,605,-1,-1,145
-1,-1,-1,-1,370,-1,-1,-1,-1,104,441,-1,489,79
-1,356,204,-1,-1,-1,-1,-1,-1,470,458,-1,-1,181
-1,-1,117,-1,-1,333,-1,-1,-1,275,-1,-1,-1,301
-1,92,-1,-1,-1,142,351,-1,336,-1,192,-1,-1,-1
-1,-1,248,-1,317,297,-1,-1,-1,-1,122,-1,-1,-1
-1,-1,277,-1,-1,-1,-1,329,-1,-1,315,-1,-1,-1
-1,-1,-1,-1,344,-1,-1,-1,-1,274,-1,-1,-1,86
-1,-1,-1,-1,-1,-1,-1,-1,-1,279,-1,-1,-1,309
-1,-1,-1,-1,-1,-1,-1,-1,-1,341,-1,-1,-1,199
-1,390,-1,-1,203,-1,323,215,-1,358,346,-1,-1,-1
